Mã code,Tiêu đề,Ngày đăng,Quận/Huyện,Phường/Xã,Tổng giá,Giá theo m²,Diện tích,Số tầng,Số phòng ngủ,"Số phòng tắm, vệ sinh",Pháp lý,Nội thất,Mô tả
45504820,Nhà riêng tại phố Hào Nam,03/05/2026,Đống Đa,"(Phường Giảng Võ, Hà Nội mới)",11 tỷ,"~314,29 triệu/m²",35 m²,6 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Chú Hà nay lớn tuổi muốn ở gần con cháu, quyết bán căn nhà ngay Giảng Võ - 35m² - ngõ thông - lô góc cực thoáng - 6T thang máy.
- Ngõ cực nông, 1 ngoặt đến nhà ngay.
- Nhà mới xây còn rất đẹp, cực chắc chắn khách lên thêm tầng thoải mái (đã để sẵn cột chờ).
Diện tích: 35m² - mặt tiền 7m - 6T thang máy.
- Tầng 1: Khách, khu để xe, vs, thang bộ thang máy cuối nhà.
- Tầng 2 - 3: Mỗi tầng 1 ngủ khép kín.
- Tầng 4: Bếp, phòng ăn, vs.
- Tầng 5: Phòng nhỏ, sân phơi.
- Tầng 6: Tum, sân rộng.
Liên hệ xem nhà Chú Hà:
0941 393 ***
."
45640561,Căn hộ chung cư tại Trung Yên Plaza,28/04/2026,Cầu Giấy,"(Phường Yên Hòa, Hà Nội mới)","12,3 tỷ","~106,96 triệu/m²",115 m²,NAN,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán gấp căn hộ chung cư cao cấp 115 m²,3 PN, 1 kho tòa Trung Yên Plaza số 1 Trung Hòa. Diện tích thông thủy 112,1. Diện tích tim tường: 115 m², thiết kế 3 PN, 1 kho, 2 WC, Pk, bếp, phòng khách. Cửa vào Đông Nam. Nhà sửa chữa rất đẹp, thiết kế cực kì hợp lý, đầy đủ nội thất như sàn gỗ, thạch cao, tủ bếp, sofa, bàn trà... SĐCC. Giá bán: 12,3 tỉ. LH:
0975 138 ***
(Call/zalo) (CÓ SLOT Ô TÔ)."
45368765,"Nhà biệt thự, liền kề tại Khu đô thị Việt Hưng",06/05/2026,Long Biên,"(Phường Việt Hưng, Hà Nội mới)","56,5 tỷ","~283,92 triệu/m²",199 m²,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Siêu biệt thự đẳng cấp BT05 KĐT VIP Việt Hưng.
Vị trí đắc địa 3 mặt vườn hoa công viên bao quạn.
Bán kính 500m đầy đủ tiện ích: Trường quốc tế Marie Curie, Bv đa khoa Đức Giang, Trườg các cấp Đô thị Việt Hưng, Công viên, Quận uỷ Long Biên.
Mặt phố kinh doanh bất chấp (Spa, văn phòng, nhà hàng, cafe, trung tâm dạy học).
Hàng cực hiếm cả khu duy nhất có nhà bán.
Diện tích: 199m².
Mặt tiền: 11m.
Xây dựng: 4 tầng bề thế.
Vị trí đắc địa nhất KĐT Việt Hưng.
Kết nối nhanh các trục: Lưu Khánh Đàm Nguyễn Văn Ninh Ngô Huy Quỳnh Vạn Hạnh Đoàn Khuê Mai Chí Thọ.
Khu đại gia cán bộ lãnh đạo giới thượng lưu sinh sống.
Biệt thự Việt Hưng ngày càng khan hiếm giá trị tăng mạnh.
Chủ bán trong 3 tháng giá chốt chỉ hơn 50tr.
Sổ đỏ chính chủ sẵn sàng giao dịch.
Zalo nhanh tay liên lạc e."
45524658,Nhà riêng tại phố Hào Nam,26/04/2026,Đống Đa,"(Phường Đống Đa, Hà Nội mới)","21,9 tỷ","~343,8 triệu/m²","63,7 m²",8 tầng,17 phòng,17 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Toà CHDV Hào Nam, 63.7m²*8T, MT 5.8m, 17 phòng KK, ngõ thông, đủ GPXD/PCCC, dòng tiền 7%/năm!
CHDV Hào Nam - 2 thoáng trước sau - 50m ra phố - Khu trung tâm Đống Đa.
Vị trí:
- Phố Hào Nam, trung tâm Đống Đa.
- Ngõ thông nhiều hướng, cách phố khoảng 50m.
- Gần ga Cát Linh, nhiều trường đại học, nhu cầu thuê cao.
Kiến trúc:
- Diện tích 63.7m², xây 8 tầng thang máy.
- Tổng 17 phòng khép kín full nội thất.
- Nhà 2 thoáng trước sau, phòng nào cũng có cửa sổ.
- Hệ thống PCCC đầy đủ, đạt chuẩn vận hành.
Thiết kế:
- Tầng 1: Để xe + phòng kỹ thuật.
- Tầng 2 - 8: Các phòng khép kín vận hành ổn định.
Dòng tiền - Pháp lý:
- Doanh thu khoảng 120 triệu/tháng.
- Vận hành ổn định, dễ khai thác.
- Sổ đỏ đẹp, sẵn sàng giao dịch.
""Lắng nghe, thấu hiểu. Tư vấn có tâm"".
Tuấn Anh - Mr Dòng Tiền.
Zalo/Call:
0824 279 ***
.
(Thông tin có thể đã thay đổi - Anh chị vui lòng liên hệ để nhận cập nhật mới nhất)."
44514188,"Nhà biệt thự, liền kề tại Gamuda Gardens",30/04/2026,Hoàng Mai,"(Phường Lĩnh Nam, Hà Nội mới)",51 tỷ,"~271,28 triệu/m²",188 m²,3 tầng,NAN,NAN,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Cần bán nhanh căn biệt thự khu Gamuda Gardens.
- Diện tích đất: 188m².
- Đặc điểm:
- Đã có giấy tờ pháp lý đầy đủ.
- Nằm trong khu dân cư hiện đại, tiện ích đầy đủ.
- Thiết kế đẹp, hợp phong thủy.
- Khu vực an ninh, phát triển sầm uất.
- Giá bán: 51 tỷ.
- Liên hệ xem nhà:
0904 744 ***
."
45615335,Nhà riêng tại đường Bùi Xương Trạch,23/04/2026,Thanh Xuân,"(Phường Khương Đình, Hà Nội mới)","22,8 tỷ","~157,24 triệu/m²",145 m²,8 tầng,24 phòng,24 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Hiếm! Toà CHDV Bùi Xương Trạch 145m²*8T, MT 5.5m, 24PKK, 2 thoáng trước sau, 10m ra phố, đủ GPXD - PCCC, dòng tiền ~7%/năm!
CHDV Bùi Xương Trạch - Thanh Xuân - Quy mô lớn - Khai thác ổn định.
Vị trí:
- Phố Bùi Xương Trạch, trung tâm Thanh Xuân.
- Nhà cách mặt phố khoảng 10m.
- 2 mặt thoáng trước sau hiếm.
- Khu vực đông dân cư, nhu cầu thuê cao.
Kiến trúc:
- Diện tích 145m².
- Xây dựng 8 tầng thang máy.
- Mặt tiền 5.5m thoáng đẹp.
- Tổng 24 phòng khép kín full nội thất.
- Hệ thống GPXD - PCCC đầy đủ.
Hình thể:
- Nhà vuông vắn, công năng tối ưu.
- Phòng bố trí hợp lý, thoáng sáng.
- Phù hợp vận hành dòng tiền dài hạn.
Pháp lý - Dòng tiền:
- Doanh thu khoảng 140 triệu/tháng.
- Tương đương khoảng 1.68 tỷ/năm (~7%/năm).
- Sổ đỏ đẹp, sẵn sàng giao dịch.
""Lắng nghe, thấu hiểu. Tư vấn có tâm"".
Tuấn Anh - Mr Dòng Tiền.
Zalo/Call:
0824 279 ***
.
(Thông tin có thể đã thay đổi - Anh chị vui lòng liên hệ để nhận cập nhật mới nhất)."
44936517,Nhà riêng tại phố Khương Hạ,24/04/2026,Thanh Xuân,"(Phường Khương Đình, Hà Nội mới)","14,8 tỷ","~321,74 triệu/m²",46 m²,5 tầng,5 phòng,NAN,Sổ đỏ/ Sổ hồng,NAN,"Chính chủ gửi bán nhà Khương Hạ, Thanh Xuân.
Diện tích: 46 m2x5 tầng.
Vị trí đẹp, ô tô ngủ trong nhà(ảnh thật 100%).
Xung quanh tiện ích bạt ngàn, gần hồ, gần các trường Đại học, gần dự án Vin Nguyễn Trãi đang triển khai.
Giá: 14.8 tỷ.
Liên hệ: Ms. Trang
0943 282 ***
để được tư vấn và xem nhà miễn phí."
44107792,Nhà riêng tại phố Chính Kinh,02/05/2026,Thanh Xuân,"(Phường Yên Hòa, Hà Nội mới)","18,9 tỷ","~237,74 triệu/m²","79,5 m²",7 tầng,19 phòng,19 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"- Vị trí: Cách mặt phố Chính Kinh chỉ 20m, gần chợ, nhu cầu thuê cực cao. Ngõ thẳng, cách ô tô tránh 40m, 200m ra ga Metro Thượng Đình. Khu vực trung tâm quận Thanh Xuân, tiện ích bao phủ.
- Kiến trúc: Nhà 7 tầng (có tum), tổng 19 phòng khép kín, full nội thất.
Hiện đang cho thuê đạt ~100tr/tháng nếu tự vận hành.
- Hình thể: 79.5m², mặt tiền 4.5m, nhà vuông vắn, thiết kế tối ưu dòng tiền, ánh sáng tự nhiên đầy đủ.
- Pháp lý - Dòng tiền: Sổ đỏ chính chủ, pháp lý sạch, GPXD và PCCC đầy đủ. Dòng tiền vận hành ~1.2 tỷ/năm nếu khai thác tối ưu.
""Phân tích rõ ưu, nhược và rủi ro của BĐS. "".
Tuấn Anh - Mr Dòng Tiền.
Zalo/Call:
0824 279 ***
.
(Thông tin có thể đã thay đổi - hãy liên hệ để nhận update mới nhất)."
45620688,Nhà riêng tại đường Khương Trung,24/04/2026,Thanh Xuân,"(Phường Khương Đình, Hà Nội mới)","21,9 tỷ","~250,29 triệu/m²","87,5 m²",7 tầng,26 phòng,26 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Hiếm! Toà CHDV Khương Trung 87.5m²*7T, MT 6.9m, 26PKK, ngõ ô tô, đủ GPXD - PCCC, dòng tiền 7.5%/năm!
CHDV Khương Trung - Thanh Xuân - Quy mô đẹp - Khai thác ổn định.
Vị trí:
- Phố Khương Trung, trung tâm Thanh Xuân.
- Ngõ thông rộng, ô tô vào nhà.
- Khu dân cư đông, nhu cầu thuê cao quanh năm.
Kiến trúc:
- Diện tích 87.5m².
- Xây dựng 7 tầng thang máy.
- Mặt tiền 6.9m thoáng rộng.
- Tổng 26 phòng khép kín full nội thất.
- Hệ thống GPXD - PCCC đầy đủ.
Hình thể:
- Nhà vuông vắn, mặt tiền rộng hiếm.
- Công năng tối ưu, phòng bố trí hợp lý.
- Phù hợp vận hành dòng tiền dài hạn.
Pháp lý - Dòng tiền:
- Doanh thu khoảng 140 triệu/tháng.
- Tương đương khoảng 1.68 tỷ/năm (~7.5%/năm).
- Sổ đỏ đẹp, sẵn sàng giao dịch.
""Lắng nghe, thấu hiểu. Tư vấn có tâm"".
Tuấn Anh - Mr Dòng Tiền.
Zalo/Call:
0824 279 ***
.
(Thông tin có thể đã thay đổi - Anh chị vui lòng liên hệ để nhận cập nhật mới nhất)."
45019919,Nhà riêng tại phố Thái Hà,05/05/2026,Đống Đa,"(Phường Ô Chợ Dừa, Hà Nội mới)",15 tỷ,~250 triệu/m²,60 m²,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Gia đình bán lại căn nhà phân lô Thái Hà, Đống Đa.
DT 60m² x 5 tầng có ô chờ thang máy, giá 15 tỷ có TL Đống Đa.
LH gặp chủ
0876 011 ***
.
Trung tâm Đống Đa - phân lô VÍP - ô tô đỗ cổng.
- Phù hợp nhu cầu: Gia đình ở 3 thế hệ, kết hợp làm văn phòng.
- Giao thông thuận tiện tiếp giáp các phố VIP như Tây Sơn, Thái Thịnh, Yên Lãng, Nguyễn Chí Thanh, Nguyên Hồng, Huỳnh Thúc Kháng, Láng Hạ, Kim Mã, Liễu Giai, Giảng Võ, Giang Văn Minh, La Thành, Trần Duy Hưng... Hoàng Cầu, Trần Quang Diệu, Thái Hà, Hào Nam, Hoàng Ngân, Nguyễn Thị Định.
- Sổ vuông đẹp, sẵn sàng sang tên.
LH gặp chủ
0876 011 ***
."
45483516,Nhà riêng tại đường Đại Linh,23/04/2026,Nam Từ Liêm,"(Phường Đại Mỗ, Hà Nội mới)","34,9 tỷ","~431,4 triệu/m²","80,9 m²",9 tầng,24 phòng,24 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Toà CHDV Đại Linh, 80.9m²*9T (1 hầm + 8 nổi), MT 6m, 24 phòng KK, ngõ ô tô tránh, đủ GPXD/PCCC, dòng tiền 7%/năm!
CHDV Đại Linh - mô hình kinh doanh khách sạn - ngõ ô tô tránh - vận hành ổn định.
Vị trí:
- Phố Đại Linh, Nam Từ Liêm.
- Ngõ rộng ô tô tránh nhau, kinh doanh tốt.
- Gần KĐT Trung Văn, ĐH Hà Nội, khu vực nhu cầu thuê cao.
Kiến trúc:
- Diện tích 80.9m², xây 1 hầm + 8 tầng nổi thang máy.
- Tổng 24 phòng khép kín vận hành mô hình khách sạn.
- Phòng đầy đủ nội thất, công năng tối ưu.
- Hệ thống PCCC đầy đủ, đạt chuẩn vận hành.
Thiết kế:
- Tầng hầm: Để xe.
- Các tầng trên bố trí phòng khép kín.
- Có khu sân chill, khu kỹ thuật riêng.
Dòng tiền - Pháp lý:
- Doanh thu mô hình khách sạn khoảng 220 triệu/tháng.
- Phù hợp vừa khai thác dòng tiền vừa giữ tài sản dài hạn.
- Sổ đỏ vuông vắn, pháp lý chuẩn.
""Lắng nghe, thấu hiểu. Tư vấn có tâm"".
Tuấn Anh - Mr Dòng Tiền.
Zalo/Call:
0824 279 ***
.
(Thông tin có thể đã thay đổi - Anh chị vui lòng liên hệ để nhận cập nhật mới nhất)."
45368755,Nhà riêng tại phường Xuân Đỉnh,28/04/2026,Bắc Từ Liêm,"(Phường Xuân Đỉnh, Hà Nội mới)","24,5 tỷ","~284,88 triệu/m²",86 m²,7 tầng,17 phòng,17 phòng,Sổ đỏ,Đầy đủ,"Giá trị tài sản không nằm ở con số 24.5tỷ mà là:
Đất ở khu dân cư ổn định.
Nằm sát khu vực Tây Hồ Tây - Ngoại Giao Đoàn.
Khu vực quy hoạch đồng bộ, dân trí cao, nhu cầu ở thật lớn.
Công trình xây mới - Diện tích: 86m².
Kết cấu: 7 tầng phòng nào cũng có thoáng.
Hệ thống báo cháy và PCCC đạt chuẩn.
Nhà vừa hoàn thiện, hạn chế rủi ro xuống cấp và chi phí sửa chữa trong những năm đầu.
Dòng tiền chia nhỏ từ 17 phòng.
Thiết kế mỗi tầng 3 phòng, full nội thất riêng từng phòng.
Tiện ích quanh khu vực bạt ngàn nên nhu cầu thuê cao. Nguồn thu ~100 triệu/tháng dòng tiền duy trì đều mỗi tháng.
Anh/chị quan tâm dòng tiền và giá trị giữ vốn lâu dài.
Liên hệ e Lương Vũ:
0846 160 ***
xem nhà để đánh giá trực tiếp."
45523913,"Nhà biệt thự, liền kề tại Khu đô thị Việt Hưng",29/04/2026,Long Biên,"(Phường Việt Hưng, Hà Nội mới)",90 tỷ,~360 triệu/m²,250 m²,5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất phong cách châu Âu.,"- Chính chủ thiện trí bán căn biệt thự đơn lập góc diện tích 250 m² đã hoàn thiện đẹp như hình ảnh.
- Vị trí VIP trong khu đô thị Việt Hưng (khu BT7).
- Biệt thự cải tạo nâng cấp đầy đủ thiết kế đồng bộ năm 2021 với nội thất phong cách châu Âu có:
+ Sân vườn bể cá coi hầm rượu.
+ Tầng 1 thông sàn làm phòng khách và bếp.
+ Tổng có 5 phòng ngủ (2 phòng ngủ master) và 1 phòng cho người giúp việc.
+ Sân thượng trồng cây cảnh và sân BBQ,
- Sổ đỏ sẵn sàng giao dịch.
- Giá chốt linh bán động, thương thảo trực tiếp.
- Liên hệ Huy
0961 833 ***
."
